Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:57:20.136,N/A,1499.5711999999999
2024/10/21 08:57:20.461,3.4412863035009355e-7,N/A
2024/10/21 08:57:21.136,N/A,1504.1397
2024/10/21 08:57:21.461,3.414530542893451e-7,N/A
2024/10/21 08:57:22.136,N/A,1503.1104
2024/10/21 08:57:22.461,3.426331705979461e-7,N/A
2024/10/21 08:57:23.136,N/A,1501.0458999999998
2024/10/21 08:57:23.461,3.416917274136409e-7,N/A
2024/10/21 08:57:24.136,N/A,1498.3379
2024/10/21 08:57:24.461,3.4432509761322667e-7,N/A
2024/10/21 08:57:25.136,N/A,1495.6429999999998
2024/10/21 08:57:25.461,3.4356477164495474e-7,N/A
2024/10/21 08:57:26.136,N/A,1492.3632999999998
2024/10/21 08:57:26.462,3.4553072821569783e-7,N/A
2024/10/21 08:57:27.136,N/A,1491.1946999999998
2024/10/21 08:57:27.461,3.4457825054829023e-7,N/A
2024/10/21 08:57:28.136,N/A,1495.841
2024/10/21 08:57:28.461,3.4411382761834563e-7,N/A
2024/10/21 08:57:29.136,N/A,1499.0742
2024/10/21 08:57:29.461,3.4394743097015115e-7,N/A
2024/10/21 08:57:30.136,N/A,1502.6518999999998
2024/10/21 08:57:30.461,3.448847764731292e-7,N/A
2024/10/21 08:57:31.136,N/A,1502.5468
2024/10/21 08:57:31.461,3.4280198850699e-7,N/A
2024/10/21 08:57:32.136,N/A,1500.2015
2024/10/21 08:57:32.461,3.4560033926725174e-7,N/A
2024/10/21 08:57:33.136,N/A,1497.6399
2024/10/21 08:57:33.461,3.4597219811041556e-7,N/A
2024/10/21 08:57:34.136,N/A,1494.3653
2024/10/21 08:57:34.461,3.4615991185865987e-7,N/A
2024/10/21 08:57:35.136,N/A,1493.2481
2024/10/21 08:57:35.461,3.4499407047281984e-7,N/A
2024/10/21 08:57:36.136,N/A,1497.6995
2024/10/21 08:57:36.461,3.481549638249989e-7,N/A
2024/10/21 08:57:37.136,N/A,1501.4489
2024/10/21 08:57:37.461,3.4459885790318947e-7,N/A
2024/10/21 08:57:38.136,N/A,1501.0711
2024/10/21 08:57:38.461,3.443567089756671e-7,N/A
2024/10/21 08:57:39.136,N/A,1498.3953999999999
2024/10/21 08:57:39.461,3.430245092496643e-7,N/A
2024/10/21 08:57:40.136,N/A,1495.7197999999999
2024/10/21 08:57:40.461,3.419709284345533e-7,N/A
2024/10/21 08:57:41.136,N/A,1493.229
2024/10/21 08:57:41.461,3.4230170979687504e-7,N/A
2024/10/21 08:57:42.136,N/A,1491.831
2024/10/21 08:57:42.461,3.4255373450458886e-7,N/A
2024/10/21 08:57:43.136,N/A,1494.935
2024/10/21 08:57:43.461,3.453161823925329e-7,N/A
2024/10/21 08:57:44.136,N/A,1499.1631
2024/10/21 08:57:44.461,3.4432274945638206e-7,N/A
2024/10/21 08:57:45.136,N/A,1503.3386999999998
2024/10/21 08:57:45.461,3.446655691082347e-7,N/A
2024/10/21 08:57:46.136,N/A,1504.171
2024/10/21 08:57:46.461,3.4519429132354333e-7,N/A
2024/10/21 08:57:47.136,N/A,1501.2539
2024/10/21 08:57:47.461,3.4304916270950563e-7,N/A
2024/10/21 08:57:48.136,N/A,1498.5278
2024/10/21 08:57:48.461,3.447104120798045e-7,N/A
2024/10/21 08:57:49.136,N/A,1496.5287999999998
2024/10/21 08:57:49.463,3.418848305859598e-7,N/A
2024/10/21 08:57:50.136,N/A,1493.9956
2024/10/21 08:57:50.461,3.4655945995864176e-7,N/A
2024/10/21 08:57:51.136,N/A,1493.0572
2024/10/21 08:57:51.461,3.465547331861886e-7,N/A
2024/10/21 08:57:52.136,N/A,1495.9814
